Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton,Sample Depth,Datetime
SW,34.408043,-119.68485,1,20180604,6/4/18,18,16.7,,188,11.275,,11.275,0.94,,0.94,0.143,7.127,0,0,4.946,0,188,0,,,50,0,1158,869,9554,451336,24608,6080,2606,4922,,,,501131,1,
SIO,32.867,-117.257,,20180604,6/4/18,19.1,,,100,3.39,3.51,3.45,2.51,2.48,2.49,0.19,5.7,0,,0.41,0.14,200,0,,,,,,,,,,,,,,,,,,
NP,33.6061,-117.9311,,NP060418,6/4/18,17.8,,,100,2.83,2.76,2.8,,,,0,0,0,0,0,0,200,0,,,25,0,0,0,2599,28586,75364,36383,,,,332643,33784,509359,,
SMP,34.008,-118.499,,512,6/4/18,19.2,,,200,,,3.1,,,,0.2,,0.1,,0.1,1.1,200,0,,,,0,0,0,3886.2,256489,0,0,,,0,50520.6,19431,330327,,
NP,33.6061,-117.9311,,NP061118,6/11/18,19,,,100,2.62,2.54,2.58,,,,0.24,2.19,0,0.32,11.68,0.3,200,0,,,25,0,0,0,0,5198,10395,2599,,,,46778,18191,83161,,
SIO,32.867,-117.257,,20180611,6/11/18,20,,,100,3.64,3.59,3.61,1.99,1.9,1.95,0.15,3.8,0,,0.32,0,200,0,,,,,,,,,,,,,,,,,,
SW,34.408043,-119.68485,1,20180611,6/11/18,19,18.6,,188,1.999,,1.999,0.423,,0.423,0.958,6.293,0,0.382,4.816,0.382,188,0,,,50,290,0,0,6369,130856,24897,15054,0,290,,,,177755,1,
SMP,34.008,-118.499,,513,6/11/18,21.7,,,200,,,0.2,,,,0.3,,0.2,,3.5,8.1,200,0,,,,0,0,0,374,8976,0,0,,,0,2992,1496,13838,,
NP,33.6061,-117.9311,,NP061818,6/18/18,18.4,,,100,1.86,1.82,1.84,,,,0.2,1.35,0,0,1.19,0,200,0,,,25,2599,0,0,0,10395,5198,2599,,,,51975,12994,85760,,
SW,34.408043,-119.68485,1,20180618,6/18/18,15.4,20.3,,188,2.2,,2.2,0.763,,0.763,0.994,8.857,0.114,0.781,15.063,0.666,188,0,,,50,0,1737,0,28082,23160,6659,4343,3764,1737,,,,69481,1,
SIO,32.867,-117.257,,20180618,6/18/18,19.7,,,100,2.95,2.86,2.91,1.66,2.05,1.86,0,3.1,0,,0.22,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,514,6/18/18,20.5,,,200,,,0.2,,,,0.3,,10.7,,36.1,11.7,200,0,,,,0,0,0,1496,2618,0,0,,,0,748,5984,10846,,
SW,34.408043,-119.68485,1,20180625,6/25/18,18.2,18.6,,188,1.879,,1.879,0.88,,0.88,0.766,4.883,0.131,0.629,7.749,0.497,188,0,,,50,0,0,1448,23450,50663,2316,1158,2606,579,,,,82219,1,
SIO,32.867,-117.257,,20180625,6/25/18,20,,,100,0.8,0.88,0.84,0.29,0.31,0.3,0.14,1.4,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
NP,33.6061,-117.9311,,NP062518,6/25/18,19.8,,,100,1.94,1.91,1.92,,,,0,2.13,0,0,0.59,0,200,0,,,25,0,0,0,0,2599,0,0,,,,38982,31185,72766,,
SMP,34.008,-118.499,,515,6/25/18,20.9,,,200,,,0.1,,,,0.4,,0.3,,5.1,0.7,200,0,,,,0,0,0,748,748,2244,0,,,0,748,2992,7480,,
NP,33.6061,-117.9311,,NP070218,7/2/18,20.4,,,100,4.06,4.09,4.07,,,,0,2.43,0,0,0,0,200,0,,,25,0,0,0,0,41580,7796,2599,,,,67568,111747,231290,,
SW,34.408043,-119.68485,1,20180702,7/2/18,18,16.9,,188,1.742,,1.742,0.889,,0.889,0.427,4.893,0,0.4,4.405,0.4,188,0,,,50,0,0,0,13028,6080,12449,3764,0,1737,,,,37056,1,
SIO,32.867,-117.257,,20180702,7/2/18,21.4,,,100,2.01,2.02,2.01,0.39,0.36,0.38,0,1.4,0,,0,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,516,7/2/18,21,,,200,,,0.2,,,,0.39,,0.87,,4.77,1.35,200,0,,,,0,0,0,4114,1870,0,0,,,0,0,2244,8228,,
SW,34.408043,-119.68485,1,20180709,7/9/18,20,22.7,,188,1.594,,1.594,0.662,,0.662,0.443,7.497,0,0.268,11.792,0.268,188,0,,,50,0,0,0,12449,6369,6080,290,2316,579,,,,28082,1,
NP,33.6061,-117.9311,,NP070919,7/9/18,22.4,,,100,2.15,2.15,2.15,,,,0,2.99,0,0,0,0,200,0,,,25,0,0,0,0,2599,44179,0,,,,155926,7796,210501,,
SIO,32.867,-117.257,,20180709,7/9/18,23,,,100,1.15,1.16,1.15,0.15,0.2,0.18,0,1.7,0,,0.35,0,200,0,,,,,,,,,,,,,,,,,,
SMP,34.008,-118.499,,517,7/9/18,23.2,,,200,,,0.1,,,,1.2,,7.64,,7.86,0.01,200,0,,,,0,0,0,0,374,0,0,,,0,2992,374,3740,,
SW,34.408043,-119.68485,1,20180716,7/16/18,19.1,20.9,,188,3.718,,3.718,0.728,,0.728,0.423,5.094,0,0.216,2.772,0.216,188,0,,,50,0,1158,290,63980,8975,2895,1737,8685,2316,,,,90036,1,
